,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
305,M,3716.0,0,10.985895721102722,0.0,0.0,37.713152,-122.459159,0.0,182.76666666666662,182.76666666666662,20.366666666666664,6.683333333333334,6.683333333333334,,,,,
337,M,6992.0,1,11.314008004574044,1.0,0.0,37.793143,-122.396396,0.0,181.57999999999993,181.57999999999993,46.26066666666665,15.286666666666667,15.286666666666667,,,,,
359,N,3914.0,0,12.161950770646422,0.0,0.0,37.765495,-122.45259,0.0,102.04,102.04,21.38999999999999,12.58,12.58,,,,,
361,N,4447.0,0,12.161950770646422,0.0,0.3333333333333333,37.769472,-122.42940800000001,0.0,139.4733333333333,139.4733333333333,30.80333333333333,12.996666666666664,12.996666666666664,N-JUDAH,Duboce&Church,,,Duboce Ave & Church St
410,N,5419.0,1,14.447110981244533,0.0,0.0,37.775069,-122.419193,0.0,510.4666666666667,510.4666666666667,85.33400000000002,10.026666666666667,10.026666666666667,N-JUDAH,Van Ness Sta,,,Metro Van Ness Station
413,N,6992.0,1,17.954887218045112,0.0,1.0,37.793143,-122.396396,0.0,221.9866666666666,221.9866666666666,57.69033333333332,15.590000000000002,15.590000000000002,N-JUDAH,EmbarcaderoSta,,,Metro Embarcadero Station
420,N,7162.0,1,21.24970238095237,0.0,0.0,37.769463,-122.429133,0.0,15.260000000000005,15.260000000000005,2.070000000000001,8.14,8.14,,,,,
421,N,7217.0,0,12.672519083969462,0.0,0.0,37.793152,-122.396431,0.0,539.6533333333332,539.6533333333332,51.874666666666684,5.77,5.77,N-JUDAH,EmbarcaderoSta,,,Metro Embarcadero Station
422,N,7219.0,0,12.288405797101449,1.0,0.0,37.760348,-122.509201,0.0,33.01666666666668,33.01666666666668,1.3533333333333335,2.48,2.48,,,,,
423,N,7252.0,0,12.162088796871407,0.0,0.0,37.769392,-122.433694,0.0,161.9933333333333,161.9933333333333,32.43000000000001,12.013333333333334,12.013333333333334,,,,,
425,N,7380.0,0,14.358778625954194,0.0,0.0,37.78957,-122.388489,0.0,214.02999999999997,214.02999999999997,44.80199999999998,12.56,12.56,,,,,
426,N,7380.0,1,17.900763358778626,0.0,0.0,37.78957,-122.388489,0.0,75.75,75.75,11.921,9.44,9.44,,,,,
427,S,5417.0,1,20.385966386554628,0.0,0.0,37.784199,-122.407695,0.0,79.40666666666665,79.40666666666665,18.733999999999998,14.156666666666666,14.156666666666666,,,,,
428,S,5419.0,1,20.415966386554622,0.0,0.0,37.775069,-122.419193,0.0,107.72999999999998,107.72999999999998,26.179999999999996,14.58,14.58,,,,,
429,S,5726.0,1,20.431848739495795,0.0,0.0,37.767194,-122.429168,0.0,63.27000000000002,63.27000000000002,15.639999999999995,14.83,14.83,,,,,
430,S,5727.0,1,20.404789915966386,0.0,0.0,37.778542,-122.414813,0.0,48.60666666666666,48.60666666666666,11.526000000000005,14.229999999999999,14.229999999999999,,,,,
431,S,5728.0,1,20.441176470588236,0.0,1.0,37.762576,-122.435231,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
432,S,5731.0,1,20.370966386554613,0.0,0.0,37.788702,-122.401925,0.0,64.02999999999999,64.02999999999999,15.061999999999992,14.11,14.11,,,,,
433,S,6991.0,0,20.4375,1.0,0.0,37.762683,-122.435289,0.0,67.17999999999999,67.17999999999999,15.572000000000003,13.910000000000002,13.910000000000002,,,,,
434,S,6992.0,1,20.357142857142858,1.0,0.0,37.793143,-122.396396,0.0,62.23333333333334,62.23333333333334,14.653999999999998,14.126666666666665,14.126666666666665,,,,,
435,S,6994.0,0,20.43290441176471,0.0,0.0,37.788791,-122.402127,0.0,54.46666666666665,54.46666666666665,14.722,16.21666666666667,16.21666666666667,,,,,
436,S,6995.0,0,20.424632352941178,0.0,0.0,37.7843,-122.407822,0.0,56.166666666666664,56.166666666666664,14.925999999999995,15.943333333333333,15.943333333333333,,,,,
437,S,6996.0,0,20.408088235294116,0.0,0.0,37.775234,-122.41933999999999,0.0,43.49999999999999,43.49999999999999,11.424000000000001,15.76,15.76,,,,,
438,S,6997.0,0,20.414044117647055,0.0,0.0,37.778675,-122.41499500000002,0.0,70.53333333333335,70.53333333333335,18.767999999999994,15.963333333333333,15.963333333333333,,,,,
439,S,6998.0,0,20.42661764705882,0.0,0.0,37.767327,-122.429321,0.0,112.82000000000004,112.82000000000004,26.248000000000005,13.96,13.96,,,,,
440,S,7217.0,0,20.441176470588236,0.0,1.0,37.793152,-122.396431,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
