,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
1363,617,2059,0,0,0.254971953,0,0.473976608
1364,617,2059,0,0,0.254971953,0,0.827395624
1365,619,3095,0,0,0.433287951,0,0.764742357
1366,619,3095,0,0,0.433287951,0,0.973657796
1367,619,3095,0,0,0.433287951,0,0.868851354
1368,619,3095,0,0,0.433287951,0,0.888777873
1369,228,2259,0,0,0.589130435,0,0.72874455
1370,228,2259,0,0,0.589130435,0,0.72593985
1371,340,1058,0,0,0.443743428,0,0.812845347
1372,340,1058,0,0,0.443743428,0,0.888340336
1373,12726,1222,0,0,0.127155172,329,0.488376824
1374,12726,1222,0,0,0.127155172,329,0.642388831
1375,12726,1222,0,0,0.127155172,329,0.472643098
1376,12726,1222,0,0,0.127155172,329,0.497748016
1377,12726,1222,0,0,0.127155172,329,0.529802106
1378,12726,1222,0,0,0.127155172,329,0.486960784
1379,1916,1945,0,0,0.574390244,0,0.74274852
1380,1916,1945,0,0,0.574390244,0,0.487134503
1381,1916,1945,0,0,0.574390244,0,0.683417951
1382,1916,1945,0,0,0.574390244,0,0.625491863
1383,1916,1945,0,0,0.574390244,0,0.838838986
1384,2059,3095,0,0,0.433287951,0,0.784742761
1385,2059,3095,0,0,0.433287951,0,0.967705415
1386,2059,3095,0,0,0.433287951,0,0.845350866
1387,2059,3095,0,0,0.433287951,0,0.856073859
1388,642,2259,0,0,0.589130435,200,0.732815911
1389,642,2259,0,0,0.589130435,200,0.72593985
1390,700,1058,0,0,0.443743428,200,0.816051861
1391,700,1058,0,0,0.443743428,200,0.877744223
1392,921,1872,0,0,0.472378805,344,0.747368421
1393,831,2713,0,0,0.333601934,359,0.836706349
